right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
10.157,196,0.3105,2.0509,-17.9036,0.6717,-1.9553,0.5197,75,11.284,195,-2.6697,6.6851,-4.3437,-0.0626,-0.9031,-0.3616,86,9.935,191,9.2437,-1.9926,-11.4616,-0.3053,-0.7353,0.168,71,10.354,199,10.0695,2.365,-12.1815,-1.363,1.2529,0.064,40,82091.958,1587467,1.7896,-0.3347,-13.5519,-0.8495,0.4964,-0.3315,47
10.209,197,0.4734,2.2353,-17.02,0.103,-1.4011,0.3044,75,11.335,196,-2.4943,8.5596,-4.0429,0.6241,-0.8019,-0.0656,86,9.987,192,9.1102,-2.1432,-11.589,-0.3516,-0.8101,0.2552,71,10.406,200,11.475,2.1189,-13.7028,-1.6718,1.5994,-0.237,40,82092.009,1587468,1.4658,-0.4535,-11.4922,-1.202,1.051,0.1439,47
10.261,198,-0.5077,0.5494,-15.8521,-0.2062,-0.5487,0.1921,75,11.387,197,-2.3921,9.3676,-3.5764,0.6155,-0.7681,-0.2693,86,10.039,193,8.956,-2.581,-11.8745,-0.3964,-1.0322,0.2834,71,10.458,201,11.0524,2.8528,-16.2676,-1.8972,1.8523,-0.539,40,82092.061,1587469,1.2279,-0.5416,-9.9838,-1.4529,1.4557,0.5211,47
10.313,199,-0.0987,-3.0302,-11.0963,-0.6585,0.2819,0.7499,75,11.439,198,-2.1936,8.6458,-3.5883,0.3551,-0.7667,-0.5685,86,10.091,194,10.3302,-2.5335,-12.3353,-0.4349,-1.4265,0.3026,71,10.51,202,8.9833,-0.3224,-19.571,-1.4167,1.9027,-0.8143,40,82092.113,1587470,1.0443,-0.6085,-8.8964,-1.6246,1.7511,0.798,47
10.364,200,-0.0341,-5.2287,-5.5074,-0.858,0.8782,0.9618,75,11.491,199,-2.0677,8.1074,-3.3605,0.5174,-0.6942,-0.6333,86,10.142,195,12.774,-3.1273,-12.6737,-0.5752,-1.7145,0.4906,71,10.561,203,8.6975,1.3219,-12.7968,-0.5127,0.7727,-0.4998,40,82092.165,1587471,0.9004,-0.6545,-8.1248,-1.741,1.9667,0.9998,47
10.416,201,2.1302,-7.1987,-6.4406,-0.4569,1.3233,1.2857,75,11.543,200,-1.7998,8.1796,-2.9353,0.4878,-0.5989,-0.5906,86,10.194,196,12.5158,-3.632,-12.2561,-1.095,-1.7676,0.953,71,10.613,204,9.2916,1.3222,-15.3529,-0.8228,-0.1029,-0.0832,40,82092.216,1587472,0.7889,-0.6744,-7.5869,-1.8135,2.1241,1.1482,47
10.468,202,6.6123,-7.5468,-12.6971,0.3409,1.6483,0.5218,75,11.594,201,-1.4236,7.9275,-2.8618,0.2866,-0.4466,-0.6001,86,10.246,197,10.6195,-3.7093,-13.056,-1.2071,-1.3804,1.1505,71,10.665,205,10.1799,2.0759,-15.0195,-0.4162,-0.7419,-0.0711,40,82092.268,1587473,0.7216,-0.693,-7.2027,-1.8562,2.2389,1.2572,47
10.519,203,6.4702,-6.5353,-17.2634,-0.4286,0.5336,1.0575,75,11.646,202,-1.2967,7.3326,-3.2495,-0.0298,-0.3498,-0.5438,86,10.297,198,9.2259,-2.8409,-12.7881,-0.2341,-0.8709,0.9171,71,10.717,206,10.139,1.4907,-14.386,-0.4368,-0.9187,-0.0302,40,82092.32,1587474,5.885,-3.791,-2.6934,-1.3255,2.1884,0.6485,47
10.571,204,8.3611,-6.0483,-17.3098,-0.9551,-0.2799,1.2369,75,11.698,203,-1.434,6.8933,-3.6233,-0.0985,-0.3066,-0.3633,86,10.35,199,8.8863,-0.7186,-12.7761,-0.1445,-0.1225,0.6235,71,10.769,207,9.9106,0.2508,-13.5153,-0.3405,-0.8294,-0.0303,40,82092.372,1587475,6.8302,-2.7569,-1.242,-0.8495,1.821,-0.0745,47
10.623,205,5.9653,-4.3763,-16.5931,-0.6652,-0.8736,0.984,75,11.75,204,-1.6031,7.0425,-3.2916,-0.113,-0.2886,-0.1502,86,10.401,200,9.2198,-0.0002,-13.4917,-0.1159,0.5541,0.2308,71,10.82,208,9.7638,0.1313,-12.9046,-0.2956,-0.7243,-0.0997,40,82092.423,1587476,5.3957,-1.8461,-3.4969,0.0359,1.5486,-0.7305,47
