right_hand_timestamp,right_hand_index,right_hand_accel_x,right_hand_accel_y,right_hand_accel_z,right_hand_gyro_x,right_hand_gyro_y,right_hand_gyro_z,right_hand_battery_percentage,left_hand_timestamp,left_hand_index,left_hand_accel_x,left_hand_accel_y,left_hand_accel_z,left_hand_gyro_x,left_hand_gyro_y,left_hand_gyro_z,left_hand_battery_percentage,right_leg_timestamp,right_leg_index,right_leg_accel_x,right_leg_accel_y,right_leg_accel_z,right_leg_gyro_x,right_leg_gyro_y,right_leg_gyro_z,right_leg_battery_percentage,left_leg_timestamp,left_leg_index,left_leg_accel_x,left_leg_accel_y,left_leg_accel_z,left_leg_gyro_x,left_leg_gyro_y,left_leg_gyro_z,left_leg_battery_percentage,ball_timestamp,ball_index,ball_accel_x,ball_accel_y,ball_accel_z,ball_gyro_x,ball_gyro_y,ball_gyro_z,ball_battery_percentage
18.46,356,2.7315,5.5903,-11.0523,0.7132,1.9934,0.5474,75,17.848,344,7.3588,3.7051,-10.9122,-0.1778,0.2917,-0.2636,88,18.341,354,6.625,-2.4778,-21.4139,0.6678,0.2374,0.2058,70,18.169,350,12.0766,0.2814,-13.2448,0.2343,-1.7069,-0.0398,40,80659.76,1559775,-4.0558,-1.809,-7.6531,-1.9757,-1.179,-2.2729,47
18.512,357,1.2229,7.36,-16.0629,-0.1569,0.9748,-0.2756,75,17.9,345,9.0051,3.3947,-9.8548,-0.7374,-0.1091,0.109,88,18.393,355,8.6599,-3.2119,-17.8279,0.4581,-0.4133,0.4658,70,18.221,351,11.2187,2.1842,-13.2433,0.5099,-1.7699,0.2713,40,80659.812,1559776,-3.354,-2.1767,-6.2872,-2.1198,-1.5236,-2.3349,47
18.564,358,-4.2899,3.6965,-19.72,-0.4833,0.38,0.3169,75,17.951,346,9.5398,2.5592,-9.7499,-1.1949,-0.4613,0.7059,88,18.445,356,9.0726,-3.3445,-16.5388,0.218,-0.5736,0.3969,70,18.273,352,8.598,2.1061,-12.9215,0.1433,-1.4976,0.5097,40,80659.864,1559777,-2.8251,-2.4478,-5.3119,-2.225,-1.7751,-2.3802,47
18.615,359,-0.5817,4.3054,-20.8327,0.1018,-0.392,-0.2767,75,18.003,347,9.5091,2.7842,-9.8085,-0.465,-0.6306,1.1088,88,18.497,357,9.2282,-2.9545,-15.3555,-0.1897,-0.566,0.424,70,18.325,353,8.1272,1.3483,-11.1792,-0.5697,-0.7137,0.6773,40,80659.915,1559778,-1.5529,-1.3517,-6.2259,-1.5242,-1.6921,-1.0615,47
18.667,360,4.6327,8.4047,-15.6538,-0.3415,-0.9554,-0.7018,75,18.055,348,9.8679,3.0357,-9.0629,0.1172,-0.8224,1.4491,88,18.549,358,9.255,-2.4905,-14.1732,-0.2473,-0.5381,0.3272,70,18.376,354,7.8106,0.7422,-11.1913,-0.9414,0.164,0.8063,40,80659.967,1559779,-2.2048,-0.1291,-6.6897,-0.4385,-0.5463,-0.099,47
18.719,361,6.3783,0.9364,-14.351,-0.4134,-0.6413,0.1644,75,18.107,349,9.1342,3.0364,-9.4853,-0.0072,-0.8318,1.6543,88,18.601,359,9.1715,-2.5311,-13.4234,-0.0791,-0.5876,0.2137,70,18.428,355,8.0349,-0.1261,-11.5559,-0.7129,0.8047,0.8313,40,80660.019,1559780,-1.9013,-0.482,-6.9932,0.3538,0.29,0.6034,47
18.771,362,8.1088,-2.4038,-11.4756,0.3727,0.2144,0.7966,75,18.159,350,8.1422,2.8904,-9.3873,0.1844,-0.5992,1.4237,88,18.652,360,9.2923,-2.4787,-13.1204,0.2965,-0.7286,0.0976,70,18.48,356,9.3547,0.2321,-12.724,0.0438,1.2723,0.5445,40,80660.071,1559781,3.9707,-5.6096,-13.1295,0.5953,0.5445,1.1161,47
18.823,363,3.4336,-3.9231,-6.81,0.4883,0.8389,1.2581,75,18.21,351,6.9581,2.8926,-9.4512,0.5671,-0.3253,0.9288,88,18.704,361,9.6171,-2.0729,-12.6008,0.2131,-0.9829,0.1431,70,18.532,357,8.9798,-1.5069,-17.2677,0.6542,1.6135,0.0486,40,80660.122,1559782,2.6501,-4.5008,-11.129,-0.2434,-0.2657,0.1385,47
18.874,364,-0.757,-5.6653,-6.3156,1.029,1.2091,1.5948,75,18.262,352,7.5132,2.741,-9.8426,1.0856,-0.0562,0.2508,88,18.756,362,10.1313,-2.0652,-12.7962,0.2027,-1.3908,0.1249,70,18.583,358,6.3304,-0.9437,-20.193,1.1522,1.2838,-0.6349,40,80660.174,1559783,1.6369,-3.69,-10.2688,-0.8555,-0.857,-0.575,47
18.926,365,-1.7162,-6.3175,-7.2398,1.4254,1.0242,1.8406,75,18.314,353,7.7361,1.6269,-10.5894,1.4641,0.2308,-0.3725,88,18.807,363,12.66,-1.3078,-13.0807,0.0951,-1.6885,0.2771,70,18.635,359,9.7375,-5.8956,-19.5567,0.1638,0.5835,0.1309,40,80660.226,1559784,0.9137,-3.0987,-9.6295,-1.3023,-1.2886,-1.0957,47
